Title,Director,Stars,IMDb-Rating,Genres,Duration,Censor-board-rating,ReleaseYear
Kung Fu Panda,"MarkOsborne,",", JackBlack, IanMcShane, AngelinaJolie, DustinHoffman",7.6,"Animation,Action,Adventure",92min,U,2008
Wo hu cang long,AngLee,"ChowYun-Fat, MichelleYeoh, ZiyiZhang, ChangChen",7.9,"Action,Adventure,Drama",120min,UA,2000
Changeling,ClintEastwood,"AngelinaJolie, ColmFeore, AmyRyan, GattlinGriffith",7.8,"Biography,Crime,Drama",141min,A,2008
X: First Class,MatthewVaughn,"JamesMcAvoy, MichaelFassbender, JenniferLawrence, KevinBacon",7.7,"Action,Adventure,Sci-Fi",131min,UA,2011
The Graduate,MikeNichols,"DustinHoffman, AnneBancroft, KatharineRoss, WilliamDaniels",8,"Comedy,Drama,Romance",106min,A,1967
The Last of the Mohicans,MichaelMann,"DanielDay-Lewis, MadeleineStowe, RussellMeans, EricSchweig",7.7,"Action,Adventure,Drama",112min,UA,1992
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,StanleyKubrick,"PeterSellers, GeorgeC.Scott, SterlingHayden, KeenanWynn",8.4,"Comedy,War",95min,A,1964
X-Men: Days of Future Past,BryanSinger,"PatrickStewart, IanMcKellen, HughJackman, JamesMcAvoy",7.9,"Action,Adventure,Sci-Fi",132min,UA,2014
The Wild Bunch,SamPeckinpah,"WilliamHolden, ErnestBorgnine, RobertRyan, ""EdmondOBrien""",7.9,"Action,Adventure,Western",145min,A,1969
Slumdog Millionaire,"DannyBoyle,",", DevPatel, FreidaPinto, SaurabhShukla, AnilKapoor",8,"Drama,Romance",120min,UA,2008
Toy Story 3,LeeUnkrich,"TomHanks, TimAllen, JoanCusack, NedBeatty",8.3,"Animation,Adventure,Comedy",103min,U,2010
Children of Men,AlfonsoCuarón,"JulianneMoore, CliveOwen, ChiwetelEjiofor, MichaelCaine",7.9,"Action,Drama,Sci-Fi",109min,A,2006
Apollo 13,RonHoward,"TomHanks, BillPaxton, KevinBacon, GarySinise",7.7,"Adventure,Drama,History",140min,U,1995
The Lives of Others,FlorianHenckelvonDonnersmarck,"UlrichMühe, MartinaGedeck, SebastianKoch, UlrichTukur",8.4,"Drama,Mystery,Thriller",137min,A,2006
Man on Fire,TonyScott,"DenzelWashington, ChristopherWalken, DakotaFanning, RadhaMitchell",7.7,"Action,Crime,Drama",146min,UA,2004
The Boondock Saints,TroyDuffy,"WillemDafoe, SeanPatrickFlanery, NormanReedus, DavidDellaRocco",7.7,"Action,Thriller",108min,A,1999
Aladdin,"RonClements,",", ScottWeinger, RobinWilliams, LindaLarkin, JonathanFreeman",8,"Animation,Adventure,Comedy",90min,U,1992
